int(self),self.seed,disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,5359886241768879100.0,500,10000,373,528.4101876675603
1,1978300952980188160.0,500,10000,358,543.31843575419
2,5445855968782141400.0,500,10000,346,559.4075144508671
3,1657414139104619520.0,500,10000,326,602.8834355828221
4,1124941263162735620.0,500,10000,352,539.5880681818181
5,317035359021079550.0,500,10000,344,568.2441860465116
6,1366795900347551740.0,500,10000,346,562.4277456647399
7,5961504906487288800.0,500,10000,335,589.5044776119403
8,5853394187334089700.0,500,10000,298,660.9530201342282
9,4212879395892091900.0,500,10000,338,580.603550295858
10,6763483361496381400.0,500,10000,297,659.89898989899
11,8361196441798661100.0,500,10000,357,549.6526610644257
12,4249120863560293400.0,500,10000,330,594.9272727272727
13,3007235136245834800.0,500,10000,336,575.1458333333334
14,3796448671327580200.0,500,10000,370,524.4351351351352
15,3946549214178253800.0,500,10000,334,588.9041916167664
16,7194236965326008300.0,500,10000,342,573.2690058479532
17,260372384498992128.0,500,10000,298,653.6174496644295
18,1808393214347200510.0,500,10000,358,559.9916201117319
19,2658775120026315800.0,500,10000,335,567.3701492537314
20,1294951676108805120.0,500,10000,329,595.3343465045592
21,7324592727020161000.0,500,10000,328,595.344512195122
22,6706276275092311000.0,500,10000,356,556.9719101123595
23,3716709737063372800.0,500,10000,315,621.536507936508
24,6758061651800653800.0,500,10000,348,562.6522988505748
25,8781108792115594200.0,500,10000,318,618.3522012578617
26,3838364023056582700.0,500,10000,371,538.6738544474393
27,2011947657747982340.0,500,10000,342,573.8654970760234
28,7349297385358873600.0,500,10000,357,555.2156862745098
29,3194025485026996200.0,500,10000,355,561.574647887324
30,2675821877006742500.0,500,10000,344,582.8343023255813
31,6637164758701009900.0,500,10000,392,515.6581632653061
32,4504692975934122000.0,500,10000,343,584.3061224489796
33,2925935343248250900.0,500,10000,363,546.0523415977962
34,4526553311035010000.0,500,10000,343,565.6180758017492
35,728077070558220290.0,500,10000,330,600.9454545454546
36,8480951755928770600.0,500,10000,349,563.0229226361032
37,3121781129657153500.0,500,10000,365,528.2794520547945
38,4348097494669637600.0,500,10000,313,627.4760383386581
39,8230294385850240000.0,500,10000,372,532.4543010752689
