int(self),number_of_steps,evaporation_factor,total_delivered,(total_delivered = 0) ? 0 : (time_to_deliver_SUM / total_delivered)
0,3.0,0.001,99,318.57575757575756
1,3.0,0.002,90,345.94444444444446
2,3.0,0.003,84,388.5238095238095
3,3.0,0.004,80,376.275
4,3.0,0.005,83,387.7710843373494
5,3.0,0.006,71,420.77464788732397
6,3.0,0.007,85,337.52941176470586
7,3.0,0.008,93,375.83870967741933
8,3.0,0.009,71,409.5492957746479
9,4.0,0.001,92,357.3478260869565
10,4.0,0.002,105,306.4190476190476
11,4.0,0.003,82,364.5975609756098
12,4.0,0.004,91,354.16483516483515
13,4.0,0.005,83,374.2168674698795
14,4.0,0.006,78,348.9871794871795
15,4.0,0.007,93,317.9569892473118
16,4.0,0.008,85,371.1764705882353
17,4.0,0.009,60,411.6333333333333
18,5.0,0.001,113,246.05309734513276
19,5.0,0.002,85,367.6470588235294
20,5.0,0.003,111,281.31531531531533
21,5.0,0.004,135,251.14074074074074
22,5.0,0.005,75,390.82666666666665
23,5.0,0.006,72,419.30555555555554
24,5.0,0.007,91,358.5274725274725
25,5.0,0.008,93,330.1290322580645
26,5.0,0.009,72,419.0138888888889
27,6.0,0.001,80,343.5
28,6.0,0.002,102,327.0686274509804
29,6.0,0.003,91,348.1978021978022
30,6.0,0.004,103,307.9126213592233
31,6.0,0.005,115,304.5739130434783
32,6.0,0.006,88,379.5681818181818
33,6.0,0.007,84,395.3452380952381
34,6.0,0.008,99,310.1010101010101
35,6.0,0.009,94,358.5531914893617
36,7.0,0.001,116,314.9741379310345
37,7.0,0.002,88,374.89772727272725
38,7.0,0.003,94,337.47872340425533
39,7.0,0.004,105,310.5238095238095
40,7.0,0.005,77,385.72727272727275
41,7.0,0.006,99,338.44444444444446
42,7.0,0.007,91,377.05494505494505
43,7.0,0.008,84,385.0357142857143
44,7.0,0.009,80,385.9375
45,8.0,0.001,91,332.83516483516485
46,8.0,0.002,93,327.4301075268817
47,8.0,0.003,130,263.3076923076923
48,8.0,0.004,88,379.8636363636364
49,8.0,0.005,133,257.3233082706767
50,8.0,0.006,128,251.1953125
51,8.0,0.007,96,323.8854166666667
52,8.0,0.008,102,313.27450980392155
53,8.0,0.009,109,324.7155963302752
54,9.0,0.001,93,321.51612903225805
55,9.0,0.002,100,312.5
56,9.0,0.003,121,276.54545454545456
57,9.0,0.004,83,365.6024096385542
58,9.0,0.005,141,234.7659574468085
59,9.0,0.006,103,288.1747572815534
60,9.0,0.007,96,320.7395833333333
61,9.0,0.008,94,334.5744680851064
62,9.0,0.009,106,304.00943396226415
63,10.0,0.001,142,247.66901408450704
64,10.0,0.002,135,256.43703703703704
65,10.0,0.003,107,327.1869158878505
66,10.0,0.004,154,220.2792207792208
67,10.0,0.005,122,245.54098360655738
68,10.0,0.006,132,264.97727272727275
69,10.0,0.007,117,258.7435897435897
70,10.0,0.008,74,366.0945945945946
71,10.0,0.009,74,399.44594594594594
72,11.0,0.001,228,166.05263157894737
73,11.0,0.002,104,308.0
74,11.0,0.003,110,301.22727272727275
75,11.0,0.004,106,313.0660377358491
76,11.0,0.005,149,211.49664429530202
77,11.0,0.006,109,280.6605504587156
78,11.0,0.007,91,320.8131868131868
79,11.0,0.008,120,291.675
80,11.0,0.009,119,256.9579831932773
81,12.0,0.001,147,180.91156462585033
82,12.0,0.002,208,183.98076923076923
83,12.0,0.003,111,302.7027027027027
84,12.0,0.004,158,206.58227848101265
85,12.0,0.005,108,281.6666666666667
86,12.0,0.006,162,215.24074074074073
87,12.0,0.007,97,332.2783505154639
88,12.0,0.008,121,239.73553719008265
89,12.0,0.009,138,239.41304347826087
90,13.0,0.001,253,116.98814229249012
91,13.0,0.002,105,279.93333333333334
92,13.0,0.003,114,257.9561403508772
93,13.0,0.004,142,230.48591549295776
