int(self),self.seed,disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,6070709863484903400.0,500,10000,11949,10.611097162942505
1,8024195312564613100.0,500,10000,11803,10.684571719054478
2,1291413056673782780.0,500,10000,11089,11.897736495626296
3,1468245953503117310.0,500,10000,10881,12.096222773642129
4,4956433390751247400.0,500,10000,11441,11.455379774495237
5,5316173838466079700.0,500,10000,11186,11.223046665474701
6,947329593776748540.0,500,10000,11704,10.985218728639781
7,7340086661149882400.0,500,10000,11603,11.169611307420494
8,2107208243761773570.0,500,10000,11578,11.128951459664881
9,7192030164205276200.0,500,10000,11559,11.109178994722727
10,2916836216629748700.0,500,10000,11502,11.075552077899495
11,3057428999702119400.0,500,10000,11609,11.099233353432682
12,1463328800643868670.0,500,10000,11871,10.611742902872546
13,8245397293850423300.0,500,10000,11166,11.714400859752821
14,2496166063588622300.0,500,10000,11466,11.444182801325658
15,7127925986123675600.0,500,10000,11771,11.038144592642936
16,7531780963694479400.0,500,10000,11484,11.297544409613375
17,8550404404455184400.0,500,10000,11736,11.152948193592366
18,3113305684692398100.0,500,10000,11673,11.123618607041891
19,3583139092221213700.0,500,10000,10951,12.273947584695462
20,6888307670529378300.0,500,10000,11285,11.265750996898538
21,4665064866157532200.0,500,10000,10801,12.346449402833072
22,4892143414524927000.0,500,10000,11520,11.307204861111112
23,5479763035429498900.0,500,10000,11931,10.42184225965971
24,4026608488493374500.0,500,10000,11735,10.750660417554325
25,597377708206568450.0,500,10000,11764,10.826589595375722
26,1855232220039027710.0,500,10000,11853,10.863831941280688
27,2762841482918370300.0,500,10000,11510,11.449522154648132
28,305742748531102720.0,500,10000,11394,11.468755485343163
29,5529706505207173100.0,500,10000,11623,11.105480512776392
30,6279439033435662300.0,500,10000,11091,11.874673158416734
31,5293407892282191900.0,500,10000,10974,12.313103699653727
32,8383400948972557300.0,500,10000,11677,10.797978932945107
33,4972539672881685500.0,500,10000,11216,11.715049928673324
34,70607907356326912.0,500,10000,11779,10.927328296120214
35,21489084138253312.0,500,10000,11006,11.84145011811739
36,8071773326943038500.0,500,10000,11381,11.649767155785959
37,6483716735690122200.0,500,10000,11088,11.87012987012987
38,5481479670362577900.0,500,10000,11769,10.683745432916986
39,9044639778352874500.0,500,10000,11762,10.709063084509436
