int(self),self.seed,disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,4837861577826129900.0,500,10000,13197,8.838599681745851
1,624156326194412540.0,500,10000,13069,8.761190603718724
2,7850456098921054200.0,500,10000,13327,8.798379230134314
3,8900659287904712700.0,500,10000,12822,8.941428794259865
4,4570960421583707100.0,500,10000,13170,8.80918754745634
5,2250703259032168450.0,500,10000,13080,8.888837920489296
6,4075283683187649500.0,500,10000,13049,8.960763276879455
7,9199828485079282700.0,500,10000,13078,8.900290564306468
8,5860860726288704500.0,500,10000,13167,8.911900964532544
9,4216762907348503600.0,500,10000,13272,8.770192887281494
10,6600487044650294300.0,500,10000,13222,8.760550597489033
11,701933588928519170.0,500,10000,12785,9.089479859210012
12,4545615925758384100.0,500,10000,13075,8.82302103250478
13,5399245191057367000.0,500,10000,13082,8.846277327625746
14,4763430476591678500.0,500,10000,12822,9.047028544688816
15,2705333158589222900.0,500,10000,12793,9.050574532947707
16,1631370535330246660.0,500,10000,12912,8.97552664188352
17,168812351005363200.0,500,10000,13098,8.781798747900442
18,4847342085479327700.0,500,10000,13226,8.684409496446394
19,159209702599393280.0,500,10000,13036,8.794108622276772
20,3373388196165471200.0,500,10000,13294,8.70520535579961
21,3553371279498521600.0,500,10000,12761,8.79719457722749
22,8735905470403355600.0,500,10000,12892,9.204390319578033
23,1882073384467525630.0,500,10000,12968,8.859808760024675
24,5084203651892347900.0,500,10000,13109,8.924250514913417
25,7323288967953045500.0,500,10000,13276,8.681907200964146
26,3740130678554818600.0,500,10000,12908,8.949256275178184
27,4771766824374987800.0,500,10000,13120,8.74001524390244
28,8336267801980406800.0,500,10000,13287,8.965831263641153
29,7724245900226986000.0,500,10000,12931,8.943314515505374
30,4310538324848549900.0,500,10000,12828,9.18631119426255
31,6360926215770765300.0,500,10000,12785,9.038169730152523
32,8260151879823610900.0,500,10000,13231,8.876048673569647
33,7544623567290308600.0,500,10000,13011,8.798939359003919
34,6764820068740010000.0,500,10000,13210,8.787282361847085
35,6914348551158050800.0,500,10000,13277,8.849363561045417
36,589412759086074880.0,500,10000,13060,8.838820826952526
37,8948439986675413000.0,500,10000,13436,8.664185769574278
38,710131948638356480.0,500,10000,12874,9.008233649215473
39,6577633689466816500.0,500,10000,13229,8.85063118905435
