int(self),self.seed,disturbance_cycles,self.cycle,self.activate_negative_stigmergy,self.total_delivered,mean_cyc_to_deliver
0,2629907248507143200.0,500,10000,false,3551,54.27400732188116
1,4446253977944213500.0,500,10000,false,3713,51.94855911661729
2,4628559938081264600.0,500,10000,false,3525,54.09418439716312
3,4372108186916228100.0,500,10000,false,1833,108.65084560829241
4,8126921660469115900.0,500,10000,false,3129,61.76190476190476
5,5753649109287772200.0,500,10000,false,2879,66.42757902049323
6,8661802169040867300.0,500,10000,false,3341,58.856929063154745
7,1400200087562361860.0,500,10000,false,3576,53.65128635346756
8,4528384456637313000.0,500,10000,false,2713,73.39624032436417
9,6591544854814131200.0,500,10000,false,3157,62.15457713018689
10,6392378955417031700.0,500,10000,false,2487,79.03297145154805
11,4160526580469366800.0,500,10000,false,2519,77.89241762604208
12,6638300053081036800.0,500,10000,false,3115,63.17656500802568
13,3945667684476376100.0,500,10000,false,2573,77.75165176836377
14,2634019827032859600.0,500,10000,false,2753,71.75154377043225
15,8216886489647023100.0,500,10000,false,3275,59.59786259541985
16,1810694672686711810.0,500,10000,false,2843,69.60253253605346
17,2492165852103437300.0,500,10000,false,3211,60.89753970725631
18,6655847356777888800.0,500,10000,false,3592,53.35690423162583
19,5216746040795599900.0,500,10000,false,4068,47.057522123893804
20,4538417223409739800.0,500,10000,false,3631,53.54530432387772
21,2711632098433687600.0,500,10000,false,3893,49.800154122784484
22,5300741960905926700.0,500,10000,false,2818,70.43789921930447
23,5304792740478438400.0,500,10000,false,3867,48.38065683992759
24,4234573684492188700.0,500,10000,false,2428,80.85790774299835
25,8122303130197677100.0,500,10000,false,3770,51.11803713527851
26,6164760643746221100.0,500,10000,false,3892,49.43319630010277
27,273324516561108992.0,500,10000,false,2649,74.76028690071725
28,1164690061313007620.0,500,10000,false,3419,57.13454226381983
29,6301349419872631800.0,500,10000,false,3605,53.717337031900136
30,6895884784493393900.0,500,10000,false,3056,62.54646596858639
31,1077504075130309630.0,500,10000,false,3135,62.20478468899522
32,5560880312896118800.0,500,10000,false,3592,52.47995545657015
33,2436688463250157600.0,500,10000,false,2828,69.28359264497878
34,5796944895487633400.0,500,10000,false,3768,51.892515923566876
35,4382146451683454000.0,500,10000,false,2853,68.92288818787242
36,3802900655768179700.0,500,10000,false,3543,54.99237933954276
37,8255007189259543600.0,500,10000,false,3135,62.95821371610845
38,1989667872376779780.0,500,10000,false,2485,79.01327967806841
39,2332846985612691500.0,500,10000,false,2890,66.97024221453287
